iterations,seed,repairer,marginal_error_repaired,marginal_error_synthetic,deletion_ratio,runtime_repairing,violations_repaired,ml_acc_rf_repaired,ml_acc_lr_repaired,ml_acc_rf_private,tvd_repaired
300,44,ILP (Marginals=False),0.3652466252058305,0.4397687198125387,0.0582,68.38205456733704,0,0.961,0.543,0.525,0.009248140035797714
300,43,ILP (Marginals=False),1.0378006708881193,0.9094315299356956,0.0576,44.35336971282959,0,0.957,0.539,0.525,0.009321093055218686
300,44,ILP (Marginals=True),0.013147732554290548,0.4397687198125387,1.0,326.2130024433136,0,0.0,0.0,0.525,0.5
300,43,ILP (Marginals=True),0.003821073209698298,0.9094315299356956,1.0,323.9383041858673,0,0.0,0.0,0.525,0.5
300,42,ILP (Marginals=True),0.020219547361408984,0.7205507955833605,1.0,326.4523720741272,0,0.0,0.0,0.525,0.5
300,42,VanillaVCRepairer,0.6842423548560579,0.7205507955833605,0.0588,3.6666054725646973,0,0.97,0.535,0.525,0.009853103434318904
300,43,VanillaVCRepairer,1.0378006708881193,0.9094315299356956,0.0576,3.905240535736084,0,0.957,0.539,0.525,0.009321093055218686
300,44,VanillaVCRepairer,0.3652466252058305,0.4397687198125387,0.0582,3.7788023948669434,0,0.961,0.543,0.525,0.009248140035797714
300,43,WeightedVCRepairer,0.7116938713865475,0.9094315299356956,0.1118,7.4783711433410645,0,0.927,0.539,0.525,0.021783295482570422
300,44,WeightedVCRepairer,0.24706232213241813,0.4397687198125387,0.0692,8.266227722167969,0,0.951,0.542,0.525,0.01037500153477807
300,42,WeightedVCRepairer,0.34426623019541414,0.7205507955833605,0.0778,8.054717540740967,0,0.955,0.535,0.525,0.012678838801623444
500,42,ClassicVCRepairer,0.17476671032493654,0.9732894760013309,0.9896,73.64897179603577,0,0.503,0.453,0.525,0.3198421978021979
500,44,ClassicVCRepairer,0.013147732554290548,0.43471162659162754,0.998,72.1650378704071,0,0.378,0.344,0.525,0.5960571428571428
500,43,ClassicVCRepairer,0.05946568480240262,0.9283583719352624,0.9956,105.68246817588806,0,0.425,0.361,0.525,0.4927348917748916
500,42,ILP (Marginals=False),0.8770573160151341,0.9732894760013309,0.0952,64.23304295539856,0,0.95,0.537,0.525,0.013204811586880551
500,43,ILP (Marginals=False),1.0031922557013648,0.9283583719352624,0.0944,116.52971076965332,0,0.946,0.538,0.525,0.012801403331650673
500,44,ILP (Marginals=False),0.3815945717834958,0.43471162659162754,0.0944,68.98908734321594,0,0.951,0.539,0.525,0.013474595322227835
500,44,ILP (Marginals=True),0.013147732554290548,0.43471162659162754,1.0,346.49754571914673,0,0.0,0.0,0.525,0.5
500,42,ILP (Marginals=True),0.020203187545096694,0.9732894760013309,1.0,339.9369194507599,0,0.0,0.0,0.525,0.5
500,43,ILP (Marginals=True),0.0038110732096982977,0.9283583719352624,1.0,338.668710231781,0,0.0,0.0,0.525,0.5
500,42,VanillaVCRepairer,0.8770573160151341,0.9732894760013309,0.0952,9.294143199920654,0,0.95,0.537,0.525,0.013204811586880551
500,44,VanillaVCRepairer,0.3815945717834958,0.43471162659162754,0.0944,7.860846757888794,0,0.951,0.539,0.525,0.013474595322227835
500,43,VanillaVCRepairer,1.0037610378397879,0.9283583719352624,0.0944,7.130677700042725,0,0.943,0.538,0.525,0.012831240114420323
500,43,WeightedVCRepairer,0.7033399426436767,0.9283583719352624,0.1306,13.19613528251648,0,0.926,0.537,0.525,0.020424904312771802
500,44,WeightedVCRepairer,0.2555990388784823,0.43471162659162754,0.125,12.882207870483398,0,0.933,0.539,0.525,0.018922993197278918
500,42,WeightedVCRepairer,0.5846397955275272,0.9732894760013309,0.1116,13.51523756980896,0,0.938,0.539,0.525,0.014278466585193293
